Rz,¦Ñ,r,n,s,l,b,h1,h2,"fc,new","fc,old",fy,¦Òn,¦Ó
2.978,0,0,0,0,150,150,75,75,50,24.8,0,-1.33,1.2
2.933,0,0,0,0,150,150,75,75,43.04,24.8,0,-1.56,0.78
2.889,0,0,0,0,150,150,75,75,43.04,24.8,0,-1.56,0.57
2.756,0,0,0,0,150,150,75,75,43.04,24.8,0,-1.56,1.1
2.756,0,0,0,0,150,150,75,75,44.7,24.8,0,2,6.96
3.867,0,0,0,0,150,150,75,75,36.6,24.8,0,-0.22,2.24
3.822,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.22,2.12
3.822,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.22,1.89
3.822,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.22,1.36
3.733,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.65
3.911,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.55
3.822,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.6
3.867,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.92
4.044,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.88,2.3
4.444,0,0,0,0,150,150,75,75,43.04,24.8,0,-0.88,1.83
4.311,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,1.52
4.356,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,1.99
4.356,0,0,0,0,150,150,75,75,50,24.8,0,-1.33,0.91
4.444,0,0,0,0,150,150,75,75,50,24.8,0,-1.33,1.48
4.444,0,0,0,0,150,150,75,75,50,24.8,0,-1.33,1.1
4.222,0,0,0,0,150,150,75,75,43.04,24.8,0,-1.56,1.06
4.178,0,0,0,0,150,150,75,75,43.04,24.8,0,-1.56,0.66
3.6,0,0,0,0,150,150,75,75,44.7,24.8,0,2,6.22
3.556,0,0,0,0,150,150,75,75,44.7,24.8,0,2,6.22
3.511,0,0,0,0,150,150,75,75,44.7,24.8,0,2,6.52
3.556,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,7.84
3.556,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,8.26
3.556,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,7.63
3.6,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,8
6,0,0,0,0,100,200,200,200,60.8,65.1,300,0,5.52
6,0,0,0,0,100,200,200,200,60.8,65.1,300,0,5.92
6,0,0,0,0,200,200,200,200,60.8,65.1,300,0,4.76
6,0,0,0,0,200,200,200,200,60.8,65.1,300,0,5.12
6,0,0,0,0,330,200,200,200,60.8,65.1,300,0,3.55
6,0,0,0,0,330,200,200,200,60.8,65.1,300,0,3.91
6,0,0,0,0,440,200,200,200,60.8,65.1,300,0,3.21
6,0,0,0,0,440,200,200,200,60.8,65.1,300,0,3.38
6,0.5,8,2,60,100,200,200,200,60.8,65.1,300,0,6.1
6,0.5,8,2,60,100,200,200,200,60.8,65.1,300,0,6.33
6,0.5,8,4,60,200,200,200,200,60.8,65.1,300,0,5.52
6,0.5,8,4,60,200,200,200,200,60.8,65.1,300,0,5.3
6,0.5,8,6,60,330,200,200,200,60.8,65.1,300,0,4.57
6,0.5,8,6,60,330,200,200,200,60.8,65.1,300,0,4.77
6,0.5,8,8,60,440,200,200,200,60.8,65.1,300,0,4.32
6,0.5,8,8,60,440,200,200,200,60.8,65.1,300,0,4.13
1.821,0,0,0,0,200,150,150,150,36.94,40.17,0,1.56,2.88
1.821,0,0,0,0,200,150,150,150,36.94,40.17,0,0.58,2.19
1.821,0,0,0,0,200,150,150,150,36.94,40.17,0,0.87,3.4
1.821,0,0,0,0,200,150,150,150,36.94,40.17,0,3.79,5.35
1.821,0,0,0,0,200,150,150,150,36.94,40.17,0,4,5.49
2.614,0,0,0,0,200,150,150,150,36.94,40.17,0,2.97,2.56
2.614,0,0,0,0,200,150,150,150,36.94,40.17,0,3.09,2.63
2.614,0,0,0,0,200,150,150,150,36.94,40.17,0,2.89,3.97
2.614,0,0,0,0,200,150,150,150,36.94,40.17,0,3.55,3.06
2.614,0,0,0,0,200,150,150,150,36.94,40.17,0,3.79,6.03
2.614,0,0,0,0,200,150,150,150,36.94,40.17,0,4.32,7.92
2.614,0,0,0,0,200,150,150,150,36.94,40.17,0,4.42,7.89
2.614,0,0,0,0,200,150,150,150,36.94,40.17,0,4.32,9.39
6.122,0,0,0,0,200,150,150,150,36.94,40.17,0,7.18,10.12
6.122,0,0,0,0,200,150,150,150,36.94,40.17,0,6.61,10.83
6.122,0,0,0,0,200,150,150,150,36.94,40.17,0,6.74,8.86
6.122,0,0,0,0,200,150,150,150,36.94,40.17,0,6.92,11.22
6.122,0,0,0,0,200,150,150,150,36.94,40.17,0,6.3,9.31
0.933,0,0,0,0,150,150,75,75,38.6,24,0,2,5.56
0.8,0,0,0,0,150,150,75,75,48.4,24,0,2,5.6
2.533,0,0,0,0,150,150,75,75,44.7,24,0,2,5.78
2.222,0,0,0,0,150,150,75,75,44.7,24,0,2,6.99
2.356,0,0,0,0,150,150,75,75,44.7,24,0,2,6.75
2.756,0,0,0,0,150,150,75,75,44.7,24,0,2,6.96
3.6,0,0,0,0,150,150,75,75,44.7,24,0,2,6.22
3.556,0,0,0,0,150,150,75,75,44.7,24,0,2,6.22
3.511,0,0,0,0,150,150,75,75,44.7,24,0,2,6.52
1.156,0,0,0,0,150,150,75,75,38.6,24,0,3.78,6.73
1.2,0,0,0,0,150,150,75,75,38.6,24,0,3.78,7.97
1.111,0,0,0,0,150,150,75,75,38.6,24,0,3.78,7.71
1.244,0,0,0,0,150,150,75,75,38.6,24,0,3.78,7.29
2,0,0,0,0,150,150,75,75,38.6,24,0,3.78,7.39
2,0,0,0,0,150,150,75,75,38.6,24,0,3.78,7.45
2,0,0,0,0,150,150,75,75,38.6,24,0,3.78,7.204
3.556,0,0,0,0,150,150,75,75,38.6,24,0,3.78,7.84
3.556,0,0,0,0,150,150,75,75,38.6,24,0,3.78,8.26
3.556,0,0,0,0,150,150,75,75,38.6,24,0,3.78,7.63
3.6,0,0,0,0,150,150,75,75,38.6,24,0,3.78,8
1.067,0,0,0,0,150,150,75,75,42.8,24,0,8,10.24
1.067,0,0,0,0,150,150,75,75,42.8,24,0,8,10.13
1.111,0,0,0,0,150,150,75,75,42.8,24,0,8,10.33
2,0,0,0,0,150,150,75,75,38.6,24,0,8,10.42
2,0,0,0,0,150,150,75,75,38.6,24,0,8,11.21
2,0,0,0,0,150,150,75,75,38.6,24,0,8,11.94
2,0,0,0,0,150,150,75,75,42.8,24,0,8,12.44
3.644,0,0,0,0,150,150,75,75,38.6,24,0,8,11.02
3.733,0,0,0,0,150,150,75,75,38.6,24,0,8,11.47
3.556,0,0,0,0,150,150,75,75,42.8,24,0,8,11.06
1.2,0,0,0,0,150,150,75,75,42.8,24,0,10,13.02
1.244,0,0,0,0,150,150,75,75,42.8,24,0,10,13.07
1.2,0,0,0,0,150,150,75,75,42.8,24,0,10,11.84
0.8,0,0,0,0,150,150,75,75,42.8,24,0,10,10.94
2,0,0,0,0,150,150,75,75,42.8,24,0,10,12.62
2,0,0,0,0,150,150,75,75,42.8,24,0,10,12
2,0,0,0,0,150,150,75,75,42.8,24,0,10,12.702
3.556,0,0,0,0,150,150,75,75,42.8,24,0,10,14.49
3.644,0,0,0,0,150,150,75,75,42.8,24,0,10,13.83
3.644,0,0,0,0,150,150,75,75,42.8,24,0,10,14.05
0.8,0,0,0,0,150,150,75,75,48.4,24,0,12,13.58
0.844,0,0,0,0,150,150,75,75,48.4,24,0,12,14.25
0.889,0,0,0,0,150,150,75,75,48.4,24,0,12,11.05
0.889,0,0,0,0,150,150,75,75,48.4,24,0,12,12.27
2.044,0,0,0,0,150,150,75,75,48.4,24,0,12,11.62
2.044,0,0,0,0,150,150,75,75,48.4,24,0,12,13.31
2.622,0,0,0,0,150,150,75,75,48.4,24,0,12,12.72
3.689,0,0,0,0,150,150,75,75,42.8,24,0,12,13.23
3.644,0,0,0,0,150,150,75,75,48.4,24,0,12,13.18
3.822,0,0,0,0,150,150,75,75,48.4,24,0,12,15.16
0.756,0,0,0,0,150,150,75,75,44.7,24,0,14,12.96
0.756,0,0,0,0,150,150,75,75,44.7,24,0,14,10.07
0.8,0,0,0,0,150,150,75,75,44.7,24,0,14,13.01
2.756,0,0,0,0,150,150,75,75,48.4,24,0,14,11.96
2.8,0,0,0,0,150,150,75,75,48.4,24,0,14,12.84
2.8,0,0,0,0,150,150,75,75,48.4,24,0,14,12.89
3.822,0,0,0,0,150,150,75,75,48.4,24,0,14,13.41
4,0,0,0,0,150,150,75,75,48.4,24,0,14,15.84
4.044,0,0,0,0,150,150,75,75,48.4,24,0,14,13.12
1.244,0,0,0,0,150,150,75,75,48.4,24,0,16,12.72
4,0,0,0,0,150,150,75,75,44.7,24,0,16,12.404
1.333,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.22,1.41
1.333,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.22,1.58
2.133,0,0,0,0,150,150,75,75,36.6,25.5,0,-0.22,1.902
2.044,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.22,1.86
2.089,0,0,0,0,150,150,75,75,36.6,25.5,0,-0.22,1.41
3.867,0,0,0,0,150,150,75,75,36.6,25.5,0,-0.22,2.24
3.822,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.22,2.12
3.822,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.22,1.589
3.822,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.22,1.36
1.422,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.44,1.34
1.422,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.44,1.06
2.089,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.44,1.2
2.133,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.44,1.88
2.133,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.44,1.51
2.133,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.44,1.61
3.733,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.44,1.65
3.911,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.44,1.55
3.822,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.44,1.604
3.867,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.44,1.92
1.067,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,1.3
1.022,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,2.17
1.022,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,2.31
1.022,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,0.96
0.978,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,1.38
3.022,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,2.08
2.978,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,1.27
2.933,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,1.84
2.933,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,2.56
4.044,0,0,0,0,150,150,75,75,43.13,25.5,0,-0.88,2.3
4.444,0,0,0,0,150,150,75,75,43.01,25.5,0,-0.88,1.83
4.311,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,1.52
4.356,0,0,0,0,150,150,75,75,50,25.5,0,-0.88,1.99
0.978,0,0,0,0,150,150,75,75,50,25.5,0,-1.33,1.15
0.978,0,0,0,0,150,150,75,75,43.04,25.5,0,-1.33,0.91
3.022,0,0,0,0,150,150,75,75,50,25.5,0,-1.33,1.3
2.978,0,0,0,0,150,150,75,75,50,25.5,0,-1.33,1.2
4.356,0,0,0,0,150,150,75,75,50,25.5,0,-1.33,0.91
4.444,0,0,0,0,150,150,75,75,50,25.5,0,-1.33,1.48
4.444,0,0,0,0,150,150,75,75,50,25.5,0,-1.33,1.1
0.933,0,0,0,0,150,150,75,75,43.04,25.5,0,-1.56,0.36
0.933,0,0,0,0,150,150,75,75,43.04,25.5,0,-1.56,0.61
2.933,0,0,0,0,150,150,75,75,43.04,25.5,0,-1.56,0.78
2.889,0,0,0,0,150,150,75,75,43.04,25.5,0,-1.56,0.57
2.756,0,0,0,0,150,150,75,75,43.04,25.5,0,-1.56,1.1
4.222,0,0,0,0,150,150,75,75,43.04,25.5,0,-1.56,1.06
4.178,0,0,0,0,150,150,75,75,43.04,25.5,0,-1.56,0.66
3,0.34,8,6,80,400,200,200,200,40,30,300,0,2
3,0.34,8,6,80,400,200,200,200,40,30,300,0,1.875
3,0.54,10,6,100,400,200,200,200,40,30,300,0,2
3,0.54,10,6,100,400,200,200,200,40,30,300,0,1.75
3,0.77,12,6,120,400,200,200,200,40,30,300,0,3.625
3,0.77,12,6,120,400,200,200,200,40,30,300,0,3.125
3,0.34,8,6,80,400,200,200,200,40,30,300,0,2.125
3,0.34,8,6,80,400,200,200,200,40,30,300,0,1.625
3,0.54,10,6,100,400,200,200,200,40,30,300,0,2.125
3,0.54,10,6,100,400,200,200,200,40,30,300,0,2
3,0.77,12,6,120,400,200,200,200,40,30,300,0,3.5
3,0.77,12,6,120,400,200,200,200,40,30,300,0,3.625
0.94,0.06,4,5,100,753,151,149,61,22.8,41.7,300,0,1.046586282
0.94,0.06,4,5,100,754,150,149,61,22.8,41.7,300,0,0.689655172
0.94,0.06,4,5,100,752,151,152,58,22.8,41.7,300,0,1.030364943
0.94,0.06,4,5,100,751,150,150,60,22.8,41.7,300,0,1.251664447
0.94,0.06,4,5,100,751,150,149,61,22.8,41.7,300,0,0.790057701
0.94,0.06,4,5,100,755,153,148,62,22.8,41.7,300,0,0.865688439
0.94,0,0,0,0,751,152,150,60,22.8,41.7,300,0,0.630737963
0.94,0,0,0,0,750,152,150,60,22.8,41.7,300,0,1.078947368
0.94,0,0,0,0,750,152,148,62,22.8,41.7,300,0,0.903508772
0.94,0,0,0,0,752,155,151,59,22.8,41.7,300,0,1.269732327
0.94,0,0,0,0,753,151,150,60,22.8,41.7,300,0,1.116945023
0.94,0,0,0,0,750,153,150,60,22.8,41.7,300,0,1.106753813
4.02,0.06,4,5,100,752,150,154,56,25.5,41.7,300,0,0.957446809
4.02,0.06,4,5,100,755,151,159,51,25.5,41.7,300,0,1.359589492
4.02,0.06,4,5,100,750,150,155,55,25.5,41.7,300,0,1.404444444
4.02,0.06,4,5,100,750,152,146,64,25.5,41.7,300,0,1.929824561
4.02,0.06,4,5,100,749,149,158,52,25.5,41.7,300,0,1.308232005
4.02,0.06,4,5,100,748,150,151,59,25.5,41.7,300,0,1.951871658
0.94,0.06,4,5,100,751,155,149,61,31.4,41.7,300,0,1.237060264
0.94,0.06,4,5,100,750,156,149,61,31.4,41.7,300,0,1.273504274
0.94,0.06,4,5,100,751,155,150,60,31.4,41.7,300,0,0.936385894
0.94,0.06,4,5,100,753,156,150,60,31.4,41.7,300,0,1.149249157
0.94,0.06,4,5,100,749,155,151,59,31.4,41.7,300,0,1.111158965
0.94,0.06,4,5,100,753,156,151,59,31.4,41.7,300,0,1.259917595
4.02,0.06,4,5,100,752,151,154,56,29.2,41.7,300,0,1.505917994
4.02,0.06,4,5,100,754,149,156,54,29.2,41.7,300,0,1.566588931
4.02,0.06,4,5,100,748,150,156,54,29.2,41.7,300,0,1.693404635
4.02,0.06,4,5,100,751,150,155,55,29.2,41.7,300,0,1.19840213
4.02,0.06,4,5,100,752,149,154,56,29.2,41.7,300,0,1.731400828
4.02,0.06,4,5,100,751,149,156,54,29.2,41.7,300,0,1.724769658
3.82,0.07,4,6,100,753,150,148,62,23.9,31.5,300,0,1.522797698
3.82,0.07,4,6,100,753,150,151,59,23.9,31.5,300,0,1.478530323
3.82,0.07,4,6,100,752,154,147,63,23.9,31.5,300,0,1.079372755
3.82,0.07,4,6,100,754,153,150,60,23.9,31.5,300,0,1.49962726
3.82,0.07,4,6,100,750,150,147,63,23.9,31.5,300,0,1.315555556
3.82,0.07,4,6,100,750,151,150,60,23.9,31.5,300,0,1.562913907
3.82,0.07,4,6,100,752,151,145,65,30.5,31.5,300,0,1.523531069
3.82,0.07,4,6,100,754,155,151,59,30.5,31.5,300,0,1.488833747
3.82,0.07,4,6,100,756,150,147,63,30.5,31.5,300,0,1.507936508
3.82,0.07,4,6,100,752,151,150,60,30.5,31.5,300,0,1.541144145
3.82,0.07,4,6,100,753,155,145,65,30.5,31.5,300,0,1.499378829
3.82,0.07,4,6,100,753,150,146,64,30.5,31.5,300,0,1.567065073
3.09,0.02,4,2,100,751,160,151,59,26.4,56.2,300,0,1.431424767
3.09,0.02,4,2,100,753,162,151,59,26.4,56.2,300,0,1.25424229
3.09,0.02,4,2,100,753,160,150,60,26.4,56.2,300,0,1.195219124
3.09,0.02,4,2,100,752,165,150,60,26.4,56.2,300,0,1.168600903
3.09,0.02,4,2,100,750,162,148,62,26.4,56.2,300,0,1.209876543
3.09,0.02,4,2,100,752,162,150,60,26.4,56.2,300,0,1.428289992
3.46,0.02,4,2,100,752,115,152,58,25.3,56.2,300,0,1.85013876
3.46,0.02,4,2,100,751,118,151,59,25.3,56.2,300,0,1.568530095
3.46,0.02,4,2,100,754,115,152,58,25.3,56.2,300,0,1.499250375
3.46,0.02,4,2,100,754,115,152,58,25.3,56.2,300,0,2.006688963
3.46,0.02,4,2,100,755,114,151,59,25.3,56.2,300,0,2.044847217
3.46,0.02,4,2,100,755,115,155,55,25.3,56.2,300,0,1.566369133
3.09,0.02,4,2,100,753,162,148,62,30.1,56.2,300,0,1.409997869
3.09,0.02,4,2,100,754,162,149,61,30.1,56.2,300,0,1.268952418
3.09,0.02,4,2,100,754,165,151,59,30.1,56.2,300,0,1.358411703
3.09,0.02,4,2,100,752,164,149,61,30.1,56.2,300,0,1.248702647
3.09,0.02,4,2,100,752,163,149,61,30.1,56.2,300,0,1.133990341
3.09,0.02,4,2,100,752,163,151,59,30.1,56.2,300,0,1.248205195
4.22,0.02,4,2,100,750,119,149,61,29.9,56.2,300,0,1.949579832
4.22,0.02,4,2,100,751,121,147,63,29.9,56.2,300,0,1.848774637
4.22,0.02,4,2,100,749,118,150,60,29.9,56.2,300,0,1.957412143
4.22,0.02,4,2,100,750,115,152,58,29.9,56.2,300,0,2.052173913
4.22,0.02,4,2,100,755,120,151,59,29.9,56.2,300,0,1.490066225
4.22,0.02,4,2,100,753,124,147,63,29.9,56.2,300,0,1.767125048
3.41,0.02,4,2,100,754,153,152,58,24.4,33.9,300,0,1.568974186
3.41,0.02,4,2,100,752,154,151,59,24.4,33.9,300,0,1.562931749
3.41,0.02,4,2,100,750,152,153,57,24.4,33.9,300,0,1.657894737
3.41,0.02,4,2,100,754,150,150,60,24.4,33.9,300,0,1.635720601
3.41,0.02,4,2,100,752,150,154,56,24.4,33.9,300,0,1.675531915
3.41,0.02,4,2,100,754,151,155,55,24.4,33.9,300,0,1.65123755
3.41,0.02,4,2,100,755,150,150,60,29.6,33.9,300,0,1.580573951
3.41,0.02,4,2,100,752,154,150,60,29.6,33.9,300,0,1.416137054
3.41,0.02,4,2,100,754,155,151,59,29.6,33.9,300,0,1.719859673
3.41,0.02,4,2,100,755,160,149,61,29.6,33.9,300,0,1.481788079
3.41,0.02,4,2,100,753,152,152,58,29.6,33.9,300,0,1.555182778
3.41,0.02,4,2,100,751,154,150,60,29.6,33.9,300,0,1.331557923
0.89,0.1,4,15,100,749,248,153,57,24.7,45.4,300,0,0.94211637
0.89,0.1,4,15,100,751,251,151,59,24.7,45.4,300,0,0.74270163
0.89,0.1,4,15,100,751,252,154,56,24.7,45.4,300,0,0.945828842
0.89,0.1,4,15,100,750,254,151,59,24.7,45.4,300,0,0.918635171
0.89,0.1,4,15,100,751,250,153,57,24.7,45.4,300,0,0.953395473
0.89,0.1,4,15,100,750,250,152,58,24.7,45.4,300,0,0.890666667
0.89,0.1,4,15,100,750,252,144,66,28.3,45.4,300,0,0.788359788
0.89,0.1,4,10,100,753,182,162,48,28.3,45.4,300,0,0.510777403
0.89,0.1,4,10,100,752,175,155,55,28.3,45.4,300,0,0.911854103
0.89,0.1,4,10,100,754,178,153,57,28.3,45.4,300,0,0.894107829
0.89,0.1,4,10,100,754,178,140,70,28.3,45.4,300,0,0.931362322
0.89,0.1,4,15,100,751,253,142,68,28.3,45.4,300,0,0.931564238
10,0,0,0,0,200,150,250,150,35,30,0,0,1.209
10,0,0,0,0,400,150,250,150,35,30,0,0,1.55
10,0,0,0,0,600,150,250,150,35,30,0,0,1.157
10,0,0,0,0,150,150,250,150,35,30,0,0,3.647
10,0,0,0,0,200,150,250,150,35,30,0,0,3.56
10,0,0,0,0,300,150,250,150,35,30,0,0,2.197
10,0,0,0,0,400,150,250,150,35,30,0,0,2.382
10,0,0,0,0,600,150,250,150,35,30,0,0,1.872
10,0,0,0,0,150,150,250,150,35,30,0,1,4.127
10,0,0,0,0,200,150,250,150,35,30,0,1,3.679
10,0,0,0,0,400,150,250,150,35,30,0,1,2.209
10,0,0,0,0,600,150,250,150,35,30,0,1,2.043
10,0,0,0,0,150,150,250,150,35,30,0,0,3.788
10,0,0,0,0,200,150,250,150,35,30,0,0,3.19
10,0,0,0,0,300,150,250,150,35,30,0,0,2.296
10,0,0,0,0,400,150,250,150,35,30,0,0,1.815
10,0,0,0,0,600,150,250,150,35,30,0,0,1.473
10,0,0,0,0,150,150,250,150,35,30,0,0,3.906
10,0,0,0,0,200,150,250,150,35,30,0,0,3.673
10,0,0,0,0,400,150,250,150,35,30,0,0,2.111
10,0,0,0,0,600,150,250,150,35,30,0,0,1.93
10,0,0,0,0,150,150,250,150,40,35,0,0,4.283
10,0,0,0,0,200,150,250,150,40,35,0,0,3.809
10,0,0,0,0,400,150,250,150,40,35,0,0,2.74
10,0,0,0,0,600,150,250,150,40,35,0,0,1.935
0.97,0,0,0,0,150,150,75,75,31.1,33.3,0,0,1.79
0.72,0,0,0,0,150,150,75,75,31.1,33.3,0,0,1.27
0.74,0,0,0,0,150,150,75,75,31.1,33.3,0,0,1.54
0.93,0,0,0,0,150,150,75,75,31.1,33.3,0,0,1.72
0.93,0,0,0,0,150,150,75,75,31.1,33.3,0,0,1.76
1.24,0,0,0,0,150,150,75,75,37.1,33.3,0,0,2.54
0.98,0,0,0,0,150,150,75,75,37.1,33.3,0,0,1.77
1.21,0,0,0,0,150,150,75,75,37.1,33.3,0,0,2.61
0.98,0,0,0,0,150,150,75,75,37.1,33.3,0,0,1.68
0.74,0,0,0,0,150,150,75,75,37.1,33.3,0,0,2.21
2.7,0,0,0,60,150,150,75,75,30,25,0,0,2.54
2.7,0,0,0,60,150,150,75,75,30,25,0,1,3.07
2.7,0,0,0,60,150,150,75,75,30,25,0,2,4.75
2.7,0,0,0,60,150,150,75,75,30,25,0,3,6.11
2.7,0,0,0,60,150,150,75,75,30,25,0,4,7.12
2.7,0.156228261,6.69,1,60,150,150,75,75,30,25,300,0,2.87
2.7,0.156228261,6.69,1,60,150,150,75,75,30,25,300,1,3.92
2.7,0.156228261,6.69,1,60,150,150,75,75,30,25,300,2,5.68
2.7,0.156228261,6.69,1,60,150,150,75,75,30,25,300,3,7.0886
2.7,0.156228261,6.69,1,60,150,150,75,75,30,25,300,4,8.486
2.7,0.410171922,10.84,1,60,150,150,75,75,30,25,300,0,3.64
2.7,0.410171922,10.84,1,60,150,150,75,75,30,25,300,1,4.95
2.7,0.410171922,10.84,1,60,150,150,75,75,30,25,300,2,6.15
2.7,0.410171922,10.84,1,60,150,150,75,75,30,25,300,3,7.494
2.7,0.410171922,10.84,1,60,150,150,75,75,30,25,300,4,9.415
2.7,0.760466484,14.76,1,60,150,150,75,75,30,25,300,0,4.287
2.7,0.760466484,14.76,1,60,150,150,75,75,30,25,300,1,5.818
2.7,0.760466484,14.76,1,60,150,150,75,75,30,25,300,2,6.904
2.7,0.760466484,14.76,1,60,150,150,75,75,30,25,300,3,8.69
2.7,0.760466484,14.76,1,60,150,150,75,75,30,25,300,4,10.09
2.7,1.233738342,18.8,1,60,150,150,75,75,30,25,300,0,5.4099
2.7,1.233738342,18.8,1,60,150,150,75,75,30,25,300,1,6.1584
2.7,1.233738342,18.8,1,60,150,150,75,75,30,25,300,2,7.596
2.7,1.233738342,18.8,1,60,150,150,75,75,30,25,300,3,9.13359
2.7,1.233738342,18.8,1,60,150,150,75,75,30,25,300,4,10.8749
2.7,0.312456522,6.69,2,60,150,150,75,75,30,25,300,0,4.09696
2.7,0.312456522,6.69,2,60,150,150,75,75,30,25,300,1,5.3939
2.7,0.312456522,6.69,2,60,150,150,75,75,30,25,300,2,6.4606
2.7,0.312456522,6.69,2,60,150,150,75,75,30,25,300,3,8.206
2.7,0.312456522,6.69,2,60,150,150,75,75,30,25,300,4,9.2727
2.7,0.820343844,10.84,2,60,150,150,75,75,30,25,300,0,5.8007
2.7,0.820343844,10.84,2,60,150,150,75,75,30,25,300,1,6.258
2.7,0.820343844,10.84,2,60,150,150,75,75,30,25,300,2,7.749
2.7,0.820343844,10.84,2,60,150,150,75,75,30,25,300,3,9.476
2.7,0.820343844,10.84,2,60,150,150,75,75,30,25,300,4,11.749
2.7,1.520932968,14.76,2,60,150,150,75,75,30,25,300,0,7.085
2.7,1.520932968,14.76,2,60,150,150,75,75,30,25,300,1,8.0279
2.7,1.520932968,14.76,2,60,150,150,75,75,30,25,300,2,9.076
2.7,1.520932968,14.76,2,60,150,150,75,75,30,25,300,3,10.862
2.7,1.520932968,14.76,2,60,150,150,75,75,30,25,300,4,13.3395
2.7,2.467476683,18.8,2,60,150,150,75,75,30,25,300,0,7.7268
2.7,2.467476683,18.8,2,60,150,150,75,75,30,25,300,1,9.028
2.7,2.467476683,18.8,2,60,150,150,75,75,30,25,300,2,9.804
1.78,0,0,0,0,410,300,50,150,128.2,32.25,0,0,1.869918699
1.78,0,0,0,0,410,300,50,150,128.2,32.25,0,0,1.967479675
2.12,0,0,0,0,410,300,50,150,128.2,51.17,0,0,3.105691057
2.12,0,0,0,0,410,300,50,150,128.2,51.17,0,0,3.365853659
2.12,0,0,0,0,410,300,50,150,128.2,51.17,0,0,3.264227642
2.12,0,0,0,0,410,300,50,150,128.2,51.17,0,0,3.414634146
4.56,0,0,0,0,410,300,50,150,128.2,51.17,0,0,4.162601626
4.56,0,0,0,0,410,300,50,150,128.2,51.17,0,0,4.292682927
